fastq_list	sequencing_center	platform_name	run_date	sample	tag
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010274_normal.tsv	University of Chicago	Illumina	''	N010274	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010274_tumor.tsv	University of Chicago	Illumina	''	N010274	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010862_normal.tsv	University of Chicago	Illumina	''	N010862	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010862_tumor.tsv	University of Chicago	Illumina	''	N010862	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009973_normal.tsv	University of Chicago	Illumina	''	N009973	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009973_tumor.tsv	University of Chicago	Illumina	''	N009973	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010820_normal.tsv	University of Chicago	Illumina	''	N010820	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010820_tumor.tsv	University of Chicago	Illumina	''	N010820	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010835_normal.tsv	University of Chicago	Illumina	''	N010835	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010835_tumor.tsv	University of Chicago	Illumina	''	N010835	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009902_normal.tsv	University of Chicago	Illumina	''	N009902	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009902_tumor.tsv	University of Chicago	Illumina	''	N009902	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010656_normal.tsv	University of Chicago	Illumina	''	N010656	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010656_tumor.tsv	University of Chicago	Illumina	''	N010656	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009936_normal.tsv	University of Chicago	Illumina	''	N009936	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009936_tumor.tsv	University of Chicago	Illumina	''	N009936	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010678_normal.tsv	University of Chicago	Illumina	''	N010678	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010678_tumor.tsv	University of Chicago	Illumina	''	N010678	tumor
